Ticker,Type,Market Cap,Percentile,Cap Category,Type_Cap_Category
HES,Growth,47480061952,0.6262425447316103,Mid Cap,Growth Mid Cap
HPE,Value,22941999104,0.3538767395626243,Mid Cap,Value Mid Cap
HLT,Growth,50159230976,0.6520874751491054,Mid Cap,Growth Mid Cap
HOLX,Value,17218553856,0.23061630218687873,Small Cap,Value Small Cap
HD,Blend,332061769728,0.9602385685884692,Large Cap,Blend Large Cap
HON,Value,131663298560,0.8608349900596421,Large Cap,Value Large Cap
HRL,Growth,16986489856,0.22266401590457258,Small Cap,Growth Small Cap
HST,Growth,12822580224,0.11928429423459244,Small Cap,Growth Small Cap
HWM,Growth,34552692736,0.5009940357852882,Mid Cap,Growth Mid Cap
HPQ,Value,35717439488,0.510934393638171,Mid Cap,Value Mid Cap
HUBB,Growth,20877948928,0.32007952286282304,Small Cap,Growth Small Cap
HUM,Value,43153817600,0.5785288270377733,Mid Cap,Value Mid Cap
HBAN,Value,20173559808,0.30218687872763417,Small Cap,Value Small Cap
HII,Blend,9980568576,0.05765407554671968,Small Cap,Blend Small Cap
IBM,Value,153268912128,0.8886679920477137,Large Cap,Value Large Cap
IEX,Value,15793088512,0.19483101391650098,Small Cap,Value Small Cap
IDXX,Blend,41041756160,0.5666003976143141,Mid Cap,Blend Mid Cap
ITW,Blend,72436596736,0.7475149105367793,Large Cap,Blend Large Cap
ILMN,Value,16611804160,0.21669980119284293,Small Cap,Value Small Cap
INCY,Blend,12994371584,0.12326043737574553,Small Cap,Blend Small Cap
IR,Growth,37539348480,0.5208747514910537,Mid Cap,Growth Mid Cap
PODD,Growth,12410299392,0.10536779324055666,Small Cap,Growth Small Cap
INTC,Value,131324436480,0.8588469184890656,Large Cap,Value Large Cap
ICE,Value,76803031040,0.7654075546719682,Large Cap,Value Large Cap
IFF,Value,24559659008,0.37773359840954274,Mid Cap,Value Mid Cap
IP,Value,15661200384,0.1908548707753479,Small Cap,Value Small Cap
IPG,Blend,11839791104,0.09343936381709742,Small Cap,Blend Small Cap
INTU,Growth,161142079488,0.8966202783300199,Large Cap,Growth Large Cap
ISRG,Blend,142634369024,0.878727634194831,Large Cap,Blend Large Cap
IVZ,Blend,7066845184,0.005964214711729622,Small Cap,Blend Small Cap
INVH,Value,21310128128,0.3320079522862823,Small Cap,Value Small Cap
IQV,Blend,39918198784,0.5546719681908548,Mid Cap,Blend Mid Cap
IRM,Growth,23652900864,0.35785288270377735,Mid Cap,Growth Mid Cap
JBHT,Blend,16588917760,0.21272365805168986,Small Cap,Blend Small Cap
JBL,Growth,14338983936,0.15705765407554673,Small Cap,Growth Small Cap
JKHY,Blend,12005171200,0.09940357852882704,Small Cap,Blend Small Cap
J,Value,17447178240,0.24453280318091453,Small Cap,Value Small Cap
JNJ,Value,352987774976,0.9622266401590457,Large Cap,Value Large Cap
JCI,Value,48444047360,0.6421471172962226,Mid Cap,Value Mid Cap
JPM,Value,581886541824,0.9801192842942346,Large Cap,Value Large Cap
JNPR,Blend,11592321024,0.08548707753479125,Small Cap,Blend Small Cap
K,Value,20629280768,0.3121272365805169,Small Cap,Value Small Cap
KVUE,Value,36955832320,0.5188866799204771,Mid Cap,Value Mid Cap
KDP,Value,46428274688,0.6182902584493042,Mid Cap,Value Mid Cap
KEY,Blend,13548898304,0.1411530815109344,Small Cap,Blend Small Cap
KEYS,Value,24178608128,0.3697813121272366,Mid Cap,Value Mid Cap
KMB,Value,44883308544,0.6003976143141153,Mid Cap,Value Mid Cap
KIM,Blend,13050885120,0.1272365805168986,Small Cap,Blend Small Cap
KMI,Value,43255713792,0.584493041749503,Mid Cap,Value Mid Cap
KLAC,Growth,102263119872,0.8131212723658051,Large Cap,Growth Large Cap
KHC,Value,42949791744,0.5745526838966203,Mid Cap,Value Mid Cap
KR,Value,38104150016,0.5347912524850894,Mid Cap,Value Mid Cap
LHX,Value,42645753856,0.5725646123260437,Mid Cap,Value Mid Cap
LH,Value,16429666304,0.20874751491053678,Small Cap,Value Small Cap
LRCX,Growth,121908142080,0.8449304174950298,Large Cap,Growth Large Cap
LW,Growth,12748281856,0.1172962226640159,Small Cap,Growth Small Cap
LVS,Growth,33549463552,0.4870775347912525,Mid Cap,Growth Mid Cap
LDOS,Value,19882924032,0.2982107355864811,Small Cap,Value Small Cap
LEN,Blend,44132012032,0.588469184890656,Mid Cap,Blend Mid Cap
LIN,Blend,209361420288,0.9343936381709742,Large Cap,Blend Large Cap
LYV,Growth,21695467520,0.3399602385685885,Mid Cap,Growth Mid Cap
LKQ,Blend,11479370752,0.08349900596421471,Small Cap,Blend Small Cap
LMT,Value,112852434944,0.831013916500994,Large Cap,Value Large Cap
L,Blend,17003981824,0.22664015904572565,Small Cap,Blend Small Cap
LOW,Value,126098784256,0.8508946322067594,Large Cap,Value Large Cap
LULU,Growth,39313235968,0.5526838966202783,Mid Cap,Growth Mid Cap
LYB,Value,32373340160,0.4731610337972167,Mid Cap,Value Mid Cap
MTB,Value,25295067136,0.38966202783300197,Mid Cap,Value Mid Cap
MRO,Growth,16204219392,0.2047713717693837,Small Cap,Growth Small Cap
MPC,Blend,62224998400,0.709741550695825,Large Cap,Blend Large Cap
MKTX,Blend,7538829824,0.011928429423459244,Small Cap,Blend Small Cap
MAR,Growth,66027241472,0.7256461232604374,Large Cap,Growth Large Cap
MMC,Blend,102279651328,0.8151093439363817,Large Cap,Blend Large Cap
MLM,Growth,35263127552,0.5029821073558648,Mid Cap,Growth Mid Cap
MAS,Growth,15399459840,0.17693836978131214,Small Cap,Growth Small Cap
MA,Blend,415602966528,0.9681908548707754,Large Cap,Blend Large Cap
MTCH,Blend,8137410560,0.027833001988071572,Small Cap,Blend Small Cap
MKC,Value,19385581568,0.28628230616302186,Small Cap,Value Small Cap
MCD,Blend,186577371136,0.9204771371769384,Large Cap,Blend Large Cap
MCK,Value,74038730752,0.7534791252485089,Large Cap,Value Large Cap
MDT,Value,106703740928,0.8210735586481114,Large Cap,Value Large Cap
MRK,Blend,317968973824,0.9562624254473161,Large Cap,Blend Large Cap
META,Growth,1184128172032,0.9880715705765407,Large Cap,Growth Large Cap
MET,Value,51463974912,0.6660039761431411,Mid Cap,Value Mid Cap
